"","names(dates)","meanages"
"1399","2299",606
"1400","2309",796
"1401","2311",9718
"1402","2340",10592
"1403","2401",933
"1404","2566",8852
"1405","2576",1307
"1406","2576",1468
"1407","2576",2236
"1408","2576",2040
"1409","2576",3600
"1410","2593",587
"1411","2593",451
"1412","2593",1224
"1413","2593",1708
"1414","2596",670
"1415","2596",1270
"1416","2597",644.5
"1417","2597",1041
"1418","2597",626
"1419","2597",428
"1420","2669",848
"1421","2669",829
"1422","2669",731
"1423","2721",1250
"1424","2724",1308
"1425","2752",5884
"1426","2752",6070
"1427","2752",6128
"1428","2752",1959
"1429","2752",1816
"1430","2752",1738
"1431","2752",1925
"1432","2752",1725
"1433","2752",7594
"1434","2753",702
"1435","2753",717
"1436","2753",766
"1437","2753",670
"1438","2753",645
"1439","2758",5119
"1440","2758",906
"1441","2758",842
"1442","2758",849
"1443","2758",1061
"1444","2758",1317
"1445","2758",1317
"1446","2758",1340
"1447","2758",1372
"1448","2758",1390
"1449","2758",1399
"1450","2758",1429
"1451","2758",1457
"1452","2758",1465
"1453","2758",1471
"1454","2758",1479
"1455","2758",1477
"1456","2760",2253
"1457","2760",5327
"1458","2771",2487
"1459","2771",4002
"1460","2800",9449
"1461","2800",7037
"1462","2800",7637
"1463","2800",8031
"1464","2800",8535
"1465","2800",5589
"1466","2800",5466
"1467","2869",1126
"1468","2887",20620
"1469","2891",9536
"1470","2895",3424
"1471","2895",2790
"1472","2895",3152
"1473","2895",4003
"1474","2895",3689
"1475","2895",5886
"1476","2918",2594
"1477","2918",3263
"1478","2946",1316
"1479","2946",1344
"1480","2947",12474
"1481","2952",792
"1482","2988",829
"1483","2988",783
"1484","2988",694
"1485","2988",678
"1486","2992",922
"1487","3068",152
"1488","3068",864
"1489","3068",954
"1490","3077",7444
"1491","3145",7951
"1492","3446",511
"1493","3451",845
"1494","3454",1196
"1495","3471",6349
"1496","3503",13920
"1497","3521",3909
"1498","3530",12033
"1499","3549",1154
"1500","3557",1511
"1501","3571",329
"1502","3576",849
"1503","3587",999
"1504","3587",859
"1505","3591",207
"1506","3593",653
"1507","3597",803.5
"1508","3601",1032
"1509","3613",13408
"1510","3615",1854
"1511","3625",627
"1512","3626",437
"1513","3634",594
"1514","3639",611.5
"1515","3643",654
"1516","3649",731
"1517","3662",428
"1518","3663",2796
"1519","3664",2590
"1520","3696",6599
"1521","3702",6267
"1522","3712",3298
"1523","3732",882
"1524","3736",3037
"1525","3739",16866
"1526","3756",15890
"1527","3760",2422
"1528","3762",14978
"1529","3794",389
"1530","3798",592
"1531","3804",845
"1532","3804",627
"1533","3810",862
"1534","3812",891
"1535","3812",1059
"1536","3818",991
"1537","3823",3944
"1538","3825",1441
"1539","3825",1456
"1540","3838",2804
"1541","3839",1032
"1542","3846",793
"1543","3847",1061
"1544","3847",1471
"1545","3849",6224
"1546","3850",631
"1547","3875",1350
"1548","3889",4279
"1549","3889",4301
"1550","3890",1440.5
"1551","3890",694
"1552","3890",833
"1553","3890",2231
"1554","3891",3259
"1555","3897",1110
"1556","3900",1850
"1557","3903",184
"1558","3906",608
"1559","3908",1199
"1560","3913",2174
"1561","3914",1588
"1562","3929",1125
"1563","3937",1298.5
"1564","3938",394
"1565","3955",174
"1566","3973",891
"1567","3982",419
"1568","3982",829
"1569","3982",589
"1570","4003",1774
"1571","4009",575
"1572","4022",5357
"1573","4082",2314
"1574","4095",750
"1575","4096",1727
"1576","4102",421
"1577","4116",3794
"1578","4116",6279
"1579","4124",998.5
"1580","4124",999
"1581","4128",601
"1582","4151",4128
"1583","4160",428
"1584","4160",371
"1585","4160",310
"1586","4161",683
"1587","4161",524
"1588","4177",598
"1589","4186",1714
"1590","4214",711
"1591","4215",1112
"1592","4216",515
"1593","4216",564
"1594","4223",1865
"1595","4230",1324
"1596","4230",1365
"1597","4230",601
"1598","4233",208
"1599","4237",4004
"1600","4242",445
"1601","4245",1870
"1602","4246",1396
"1603","4249",626
"1604","4250",600
"1605","4263",4041
"1606","4279",721
"1607","4279",658
"1608","4279",728
"1609","4285",703
"1610","4287",4252
"1611","4293",654
"1612","4294",685
"1613","4295",3150
"1614","4388",5768
"1615","4404",19077
"1616","4404",19079
"1617","4404",12079
"1618","4404",13259
"1619","4405",18345
"1620","4406",13906
"1621","4406",13487
"1622","4410",13181
"1623","4436",9141
"1624","4441",9737
"1625","4443",14114
"1626","4443",14189
"1627","4443",14431
"1628","4472",20701
"1629","4488",9697
"1630","4492",1667
"1631","4493",1618
"1632","4493",2329
"1633","4501",2049
"1634","4516",1246
"1635","4516",1382
"1636","4516",1715
"1637","4589",168
"1638","4715",708
"1639","4942",13260
"1640","4964",10592
"1641","4985",4879
"1642","5008",2524
"1643","5011",13139
"1644","48",7860
"1645","48",7860
"1646","48",9615
